Name,Interface ID,Description,EIP Link
ERC165,0x01ffc9a7,Supports interface standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-165.md
ERC173,0x7f5828d0,Contract ownership standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-173.md
ERC721,0x80ac58cd,NFT standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-721.md
ERC721Metadata,0x5b5e139f,NFT metadata standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-721.md
ERC721TokenReceiver,0x150b7a02,NFT receiver standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-721.md
ERC721Enumerable,0x780e9d63,NFT enumerable ids standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-721.md
ERC725X,0x44c028fe,Smart contract based account executor standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-725.md
ERC725Y,0x714df77c,Smart contract based account key/value storage standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-725.md
ERC998ERC721TopDown,0xcde244d9,Top-down composable NFT standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-998.md
ERC998ERC721TopDownEnumerable,0xa344afe4,Top-down composable and enumerable NFT standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-998.md
ERC998ERC20TopDown,0x7294ffed,Top-down composable fungible token standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-998.md
ERC998ERC20TopDownEnumerable,0xc5fd96cd,Top-down composable and enumerable fungible token standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-998.md
ERC998ERC721BottomUp,0xa1b23002,Bottom-up compsable NFT standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-998.md
ERC998ERC721BottomUpEnumerable,0x8318b539,Bottom-up composable and enumerable NFT standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-998.md
ERC998ERC20BottomUp,0xffafa991,Bottom-up composable fungible token standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-998.md
ERC1155,0xd9b67a26,Semi-fungible token standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-1155.md
ERC1155TokenReceiver,0x4e2312e0,Semi-fungible token receiver standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-1155.md#erc-1155-token-receiver
ERC1155MetadataURI,0x0e89341c,Semi-fungible metadata uri standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-1155.md#metadata
ERC1523,0x5a04be32,Insurance policy standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-1523.md
ERC777Name,0x06fdde03,Token contract name standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777Symbol,0x95d89b41,Token contract symbol standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777TotalSupply,0x18160ddd,Token contract total supply standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777BalanceOf,0x70a08231,Token contract balanceOf standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777Burn,0xfe9d9303,Token burn standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777OperatorBurn,0xfc673c4f,Token operator burn standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777Send,0x9bd9bbc6,Token send standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777OperatorSend,0x62ad1b83,Token operator send standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777Granularity,0x556f0dc7,Token granularity standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777DefaultOperators,0x06e48538,Token default operators standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777AuthorizeOperator,0x959b8c3f,Token authorize operator standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777RevokeOperator,0xfad8b32a,Token revoke operator standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777IsOperatorFor,0xd95b6371,Token is operator for standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777TokensToSend,0x75ab9782,Tokens to send hook standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC777TokensReceieved,0x0023de29,Tokens received hook standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-777.md
ERC1538,0x61455567,Transparent contract standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-1538.md
ERC2477,0x832a7e0e,Token metadata integrity standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-2477.md
ERC721GetImageSvg,0x87d2f48c,NFT SVG image storage standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-2569.md
ERC2767,0xd8b04e0e,Governance contract standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-2767.md
ERC2981,0x2a55205a,NFT royalities standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-2981.md
ERC721Consumable,0x953c8dfa,ERC-721 Consumer Role extension standard interface,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-4400.md
SaferERC-20,0x534f5876,ERC20 extension for safe transfer functions standard interface ,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-4524.md
